ScoreHard,ScoreMedium,ScoreEasy,ScoreAverage,ScoreComp,predict,win,bonus,closePredict,Round1,condition,skillPre,confidentPre,trustPre,effPre,skillPost1,confidentPost1,trustPost1,effPost1,compPerfPost1,perfChangePost2,momPost2,skillPost2,confidentPost2,trustPost2,effPost2,compPerfPost2,perfChangePost2,momPreComp,skillPreComp,confidentPreComp,trustPreComp,effPreComp,compPerfPreComp,predict,likelyWin,expWin,perfComp,effortComp,familiar,education,age,gender,fun,mood
4,6,9,6,3,7,0,0,4,Hard,posMom,10,10,10,10,10,10,10,10,10,7,7,10,10,10,10,10,10,50,10,10,10,10,10,7,10,1,9,10,1,3,45,2,4,6
11,15,19,15,13,15,0,0,2,Hard,posMom,7,7,7,7,5,5,6,5.333333333,4,5,5,6,5,7,6,5,5,12,5,7,7,6.333333333,5,15,5,1,2,10,2,3,28,2,4,5
15,12,17,15,22,25,1,7,3,Hard,posMom,4,3,4,3.666666667,7,7,8,7.333333333,5,5,5,6,7,7,6.666666667,5,5,10,7,7,6,6.666666667,5,25,5,1,2,9,3,3,33,1,2,5
6,5,8,6,7,6,1,1,1,Easy,negMom,9,5,7,7,8,6,9,7.666666667,7,6,6,8,5,7,6.666666667,6,6,33,7,8,7,7.333333333,6,6,6,2,8,6,2,2,21,2,2,6
10,12,15,12,14,12,1,2,2,Hard,posMom,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4.333333333,4,4,0,4,4,4,4,4,12,4,2,5,8,3,3,43,1,5,5
19,11,3,11,18,11,1,7,7,Easy,negMom,8,7,6,7,7,3,6,5.333333333,3,7,7,8,8,7,7.666666667,6,6,40,7,8,8,7.666666667,9,11,9,1,8,8,1,3,27,1,6,6
1,3,2,2,2,1,0,0,1,Easy,negMom,5,8,6,6.333333333,4,8,5,5.666666667,5,4,4,5,4,7,5.333333333,8,8,1,4,8,7,6.333333333,6,1,6,2,6,8,2,2,25,1,2,2
1,4,6,4,6,6,1,2,0,Hard,posMom,7,7,7,7,1,1,1,1,1,5,5,4,4,4,4,4,4,47,7,7,7,7,6,6,6,1,10,10,2,3,26,1,4,7
9,9,12,10,9,11,0,0,2,Hard,posMom,8,9,9,8.666666667,8,9,9,8.666666667,9,5,5,8,8,9,8.333333333,9,9,8,8,8,9,8.333333333,9,11,9,1,5,6,3,3,33,2,4,5
6,2,8,5,6,8,1,1,2,Easy,negMom,1,1,1,1,7,7,7,7,5,1,1,1,1,1,1,1,1,-18,4,4,4,4,3,8,3,2,4,10,1,3,35,1,2,4
18,14,19,17,18,18,1,1,0,Easy,negMom,8,8,9,8.333333333,6,9,9,8,8,3,3,4,6,6,5.333333333,6,6,41,7,7,9,7.666666667,6,18,6,1,9,9,1,4,37,2,6,7
7,2,15,8,11,5,1,3,6,Hard,posMom,5,6,6,5.666666667,3,3,4,3.333333333,2,1,1,2,2,2,2,1,1,13,5,5,5,5,4,5,4,2,5,7,2,3,29,2,2,3
6,2,0,3,9,5,1,6,4,Hard,posMom,5,6,6,5.666666667,6,5,6,5.666666667,5,2,2,3,4,5,4,5,5,-49,1,1,1,1,1,5,1,2,7,9,1,2,31,2,4,4
8,11,17,12,6,13,0,0,7,Hard,posMom,6,6,6,6,4,4,5,4.333333333,5,5,5,4,4,4,4,4,4,16,5,5,5,5,5,13,5,1,3,8,2,2,37,1,4,3
3,8,14,8,0,4,0,0,4,Easy,negMom,7,8,9,8,8,9,9,8.666666667,9,3,3,7,7,7,7,6,6,-17,6,6,6,6,6,4,6,1,3,7,3,4,32,2,2,5
3,8,5,5,7,3,1,2,4,Easy,negMom,3,3,3,3,3,3,3,3,3,5,5,4,4,4,4,1,1,0,3,3,3,3,1,3,1,2,3,7,2,2,34,1,2,5
8,8,8,8,5,7,0,0,2,Hard,posMom,2,2,1,1.666666667,2,1,1,1.333333333,2,4,4,1,1,1,1,1,1,-41,1,1,1,1,1,7,1,2,1,9,2,2,22,2,1,2
8,7,17,11,9,10,0,0,1,Easy,negMom,1,1,1,1,5,5,5,5,1,2,2,1,1,1,1,1,1,-50,1,1,1,1,1,10,1,2,1,6,2,2,30,2,1,2
9,10,14,11,12,12,1,1,0,Easy,negMom,5,6,7,6,3,4,4,3.666666667,6,1,1,2,2,2,2,2,2,-49,1,1,1,1,1,12,1,2,5,7,2,2,31,1,2,4
2,5,10,6,5,7,0,0,2,Hard,posMom,7,7,7,7,1,1,1,1,2,2,2,3,3,3,3,5,5,4,5,5,6,5.333333333,6,7,6,1,1,10,1,2,32,2,2,4
11,10,6,9,10,10,1,1,0,Easy,negMom,8,8,8,8,7,7,7,7,8,5,5,8,8,8,8,8,8,20,8,8,8,8,8,10,8,1,8,10,3,2,35,1,4,6
24,27,29,27,36,33,1,9,3,Hard,posMom,8,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,8,31,9,9,8,8.666666667,8,33,8,1,9,9,3,3,30,1,4,6
10,20,24,18,13,22,0,0,9,Hard,posMom,4,4,4,4,2,2,2,2,1,5,5,4,4,4,4,1,1,7,4,4,4,4,1,22,1,1,1,10,2,2,35,1,4,3
6,6,8,7,9,4,1,2,5,Easy,negMom,7,8,8,7.666666667,1,1,3,1.666666667,1,4,4,2,2,3,2.333333333,1,1,-1,2,2,2,2,1,4,1,2,5,7,2,2,25,2,2,4
3,5,6,5,9,4,1,4,5,Easy,negMom,3,3,3,3,2,1,2,1.666666667,2,3,3,2,2,2,2,2,2,-25,1,1,1,1,1,4,1,2,6,7,2,2,55,2,4,6
2,8,6,5,5,5,0,0,0,Easy,negMom,5,4,6,5,3,5,5,4.333333333,5,5,5,7,6,6,6.333333333,5,5,-17,4,3,4,3.666666667,2,5,2,2,4,5,2,3,29,1,2,5
3,9,5,6,11,4,1,5,7,Hard,posMom,7,8,9,8,3,3,3,3,4,6,6,8,8,8,8,8,8,-17,4,4,3,3.666666667,4,4,4,2,8,9,2,3,56,2,4,5
6,7,16,10,7,5,0,0,2,Hard,posMom,8,8,10,8.666666667,5,5,7,5.666666667,7,5,5,8,8,10,8.666666667,7,7,41,10,10,10,10,8,5,8,2,5,10,3,3,26,1,4,5
11,11,14,12,15,12,1,3,3,Easy,negMom,4,3,4,3.666666667,4,3,4,3.666666667,3,3,3,3,3,3,3,3,3,-18,3,3,3,3,3,12,3,2,4,6,2,3,44,2,4,4
8,9,6,8,11,9,1,3,2,Easy,negMom,6,6,6,6,5,5,5,5,5,5,5,7,7,7,7,6,6,13,6,6,6,6,6,9,6,2,8,8,2,2,48,2,6,6
4,5,10,6,20,6,1,14,14,Hard,posMom,8,8,8,8,3,7,4,4.666666667,8,5,5,7,6,7,6.666666667,8,8,32,8,8,7,7.666666667,7,6,7,1,7,8,2,3,38,2,4,3
2,5,5,4,4,5,0,0,1,Hard,posMom,6,5,5,5.333333333,3,4,4,3.666666667,4,5,5,5,6,6,5.666666667,5,5,15,6,6,7,6.333333333,6,5,6,1,6,10,2,2,34,1,4,5
11,14,15,13,26,21,1,13,5,Hard,posMom,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,14,5,5,5,5,5,21,5,2,5,5,2,3,24,2,4,3
9,8,15,11,13,9,1,2,4,Easy,negMom,6,6,6,6,6,6,6,6,5,2,2,4,4,4,4,4,4,-25,4,4,4,4,4,9,4,2,4,10,3,2,32,2,2,3
2,3,6,4,6,4,1,2,2,Hard,posMom,5,5,5,5,1,1,1,1,1,5,5,2,2,2,2,2,2,19,5,5,3,4.333333333,4,4,4,2,6,9,3,2,31,2,4,5
8,12,15,12,15,13,1,3,2,Hard,posMom,8,9,9,8.666666667,4,5,5,4.666666667,3,6,6,8,9,9,8.666666667,7,7,32,9,9,10,9.333333333,9,13,9,1,10,10,1,3,34,1,5,6
5,6,4,5,7,5,1,2,2,Easy,negMom,6,7,6,6.333333333,4,4,4,4,2,5,5,6,6,6,6,5,5,24,3,3,3,3,3,5,3,2,6,8,3,2,38,2,4,6
