sid,group,nam,progressive,dwipc,dwfpc,ipc,fpc,sc_flat,sc_lep
173,0,2,False,0.6222222222222222,0.7777777777777777,0.6,0.8444444444444444,0.3134190476190476,0.18656410495120176
175,0,3,False,0.7,0.6222222222222221,0.6666666666666666,0.7333333333333334,0.24852539682539682,0.32941005309056776
176,0,1,True,0.6777777777777778,0.7,0.7111111111111111,0.7555555555555555,0.06999999999999998,0.03528225806451612
177,0,0,True,0.4999999999999999,0.4999999999999999,0.5333333333333333,0.5333333333333333,0.5965,0.5968875502008031
178,0,2,True,0.6333333333333333,0.6111111111111112,0.6666666666666666,0.6444444444444445,0.4156285714285714,0.2516588310716958
179,0,3,True,0.6333333333333333,0.8999999999999999,0.6444444444444444,0.9111111111111111,0.4996666666666667,0.3561976336050724
180,0,3,True,0.8666666666666666,0.9777777777777777,0.8888888888888888,0.9555555555555556,0.5772605616605617,0.5759497067476067
181,0,2,True,0.5555555555555556,0.6777777777777778,0.5777777777777778,0.7777777777777777,0.1616111111111111,0.1940300972451684
182,0,1,True,0.6555555555555554,0.6777777777777778,0.6666666666666666,0.7555555555555555,0.14916190476190477,0.266590053332383
183,0,2,False,0.6666666666666665,0.6888888888888889,0.6666666666666666,0.6222222222222222,0.4859428571428572,0.35838029038776
184,0,1,True,0.6,0.6888888888888889,0.6222222222222222,0.7111111111111111,0.5052181818181819,0.5119598471537924
185,0,3,False,0.6222222222222222,0.8111111111111111,0.6444444444444444,0.8222222222222223,0.44685726495726497,0.3588266851759268
186,0,2,False,0.8222222222222222,0.7888888888888888,0.8222222222222223,0.8444444444444444,0.5407544011544012,0.30729390302561005
187,0,1,True,0.4,0.5,0.48888888888888893,0.5555555555555557,0.34398168498168497,0.19308012448256337
188,0,2,False,0.5777777777777777,0.7222222222222221,0.5777777777777778,0.7999999999999999,0.2719857142857143,0.31885487787269085
189,0,1,True,0.6222222222222222,0.6777777777777778,0.6222222222222222,0.7333333333333333,0.10666666666666663,0.05464480874316926
190,0,1,True,0.5777777777777777,0.5111111111111111,0.6222222222222222,0.6,0.4854909090909091,0.48744067177802214
191,0,3,False,0.611111111111111,0.8777777777777778,0.6222222222222222,0.888888888888889,0.39255411255411254,0.38781618708089316
192,0,2,True,0.5555555555555556,0.7222222222222221,0.6,0.7777777777777777,0.14707878787878784,0.27324830584324244
193,0,1,True,0.6777777777777778,0.7,0.7111111111111111,0.7555555555555555,0.10148571428571426,0.1507488479262672
194,0,3,True,0.7555555555555555,0.9444444444444444,0.7999999999999999,0.9555555555555554,0.3531111111111111,0.3219365846177441
195,0,1,False,0.7222222222222222,0.5888888888888888,0.6888888888888888,0.6,0.29842857142857143,0.15225947521865893
196,0,1,True,0.4,0.5222222222222221,0.37777777777777777,0.5777777777777778,0.11461212121212117,0.15107496130812192
197,0,1,True,0.6555555555555554,0.5444444444444444,0.688888888888889,0.6444444444444444,0.3126984126984127,0.3903689836149513
198,0,1,True,0.5111111111111111,0.5777777777777777,0.5111111111111111,0.6444444444444444,0.1299174603174603,0.19879953506955783
199,1,3,False,0.611111111111111,0.8777777777777778,0.6444444444444444,0.888888888888889,0.3250666666666666,0.22446969696969699
200,1,3,False,0.7666666666666666,0.7333333333333332,0.7777777777777778,0.7999999999999999,0.43682657342657344,0.42883721446961864
201,1,3,False,0.6444444444444444,0.8333333333333333,0.6222222222222222,0.8444444444444444,0.534949494949495,0.5194380705560829
202,1,2,False,0.8666666666666667,0.7777777777777777,0.8444444444444444,0.7999999999999999,0.6035989898989899,0.5731380201299986
