Det-Upr1,Det-Upr2,Det-Upr3,Det-Upr4,Det-Upr5,Det-Inv1,Det-Inv2,Det-Inv3,Det-Inv4,Det-Inv5,Loc-Upr1,Loc-Upr2,Loc-Upr3,Loc-Upr4,Loc-Upr5,Loc-Inv1,Loc-Inv2,Loc-Inv3,Loc-Inv4,Loc-Inv5,Discr-1,Discr-2,Discr-3,Discr-4,Discr-5
-0.720469192,-0.86690552,0.919446595,2.280186679,3.646170221,-0.434564436,-0.321287007,0,0.434121468,2.307336639,0,-0.251369685,0.609140388,1.661994875,2.707520103,-0.198070024,0,0.099520665,0.202095005,1.293337679,-0.036851054,0.037340396,0.323145893,0.637257861,2.019139281
0,0.070290968,0.793538329,2.699085962,3.211605785,-0.113277429,0,0.570776326,1.300937097,2.777484318,0.300644365,0.105013243,0.476936276,2.25315166,3.111850487,-0.260765255,0.199556951,0.249711975,1.275371175,2.419048311,-0.291017,0.250856962,0.528379794,1.050503591,2.999830733
-0.338131579,0.418899283,1.199552333,1.880671493,3.680764686,-0.101032125,-0.182927814,0.47607011,1.421737986,2.952304745,0.21076001,1.026075521,2.104500356,2.707520103,2.707520103,0.205780094,0.559112306,0.78150647,3.111850487,3.111850487,-0.283818047,0.209395219,-0.104633456,2.198809442,3.186437636
0.285904756,0.607191763,0.707072004,2.631137881,4.660534919,0.468746185,0.468746185,0.138445578,1.38819278,3.48471673,0.247585444,0,0.664125549,2.480335882,2.909685295,-0.105013243,-0.0987901,0.297590689,0.721378386,2.682501074,0,0.112087935,-0.10527502,1.440815326,3.610473718
0.096924446,-0.404761868,0.248553513,0.639668433,1.483577727,-0.162958272,-0.166001691,0.292931816,0.243762451,1.157540487,0.148795345,0.515598292,0.359555355,0.515598292,1.894016432,-0.353844874,0.192459137,0.255295514,0.152579585,0.900286751,-0.104506238,0.355490418,0.034863603,0.605687239,0.939669614
-0.86690552,0.348670269,1.989982187,2.965120255,3.507724643,-0.607191763,-0.728459941,1.175818189,1.881771217,2.827755752,0.297590689,0.102574341,1.454860802,2.682501074,2.909685295,0.050761607,0.318018092,1.072010796,1.543384022,2.533849769,0.279593396,0.069812138,0.31506185,1.249637713,3.68035197
-0.259713756,-0.259713756,0.870030276,3.225002974,4.660534919,0,0,-0.728459941,1.481542528,3.321758458,0.353844874,0.664125549,1.745365128,3.111850487,3.111850487,-0.102574341,0.348352296,0.893744468,1.894491447,2.909685295,-0.034821317,0,-0.104888982,1.396111568,3.324883214
0,0.979770232,2.815614755,4.400821162,4.400821162,0.259713756,0.720469192,2.067293524,3.932074977,4.660534919,0.099520665,0.508350699,2.682501074,3.111850487,2.909685295,-0.198070024,0.565603536,1.735843159,3.111850487,3.111850487,-0.142505848,0.176478726,1.094277313,1.729128408,4.660534919
0.720469192,0.568626425,1.087110575,3.029207325,4.053343156,0,-0.138445578,0.329592009,2.12449521,3.793629399,0.248831631,0.148064779,0.450926636,2.533849769,3.111850487,-0.148795345,0.050005245,0.616365143,2.480335882,3.111850487,0.174318376,0.139710299,0.0360525,0.944946216,3.463328792
0.607191763,0,1.115085673,2.060700282,3.610473718,0,0,0.285904756,1.115085673,2.635084278,-0.07480302,0.368657196,0.813848388,1.915480598,2.682501074,0.293854176,0.432700665,0.379500155,0.663566117,2.533849769,0.259713756,0,-0.259713756,0.86690552,2.355490882
-0.138445578,0.434121468,2.141484974,2.726723627,3.793629399,-0.607191763,0.251723007,1.07713021,1.914505825,2.743568198,0.408830034,0.050005245,0.968822684,2.331684577,3.111850487,-0.0987901,0.04927468,0.833616384,1.661994875,2.909685295,0.280984964,-0.034863603,-0.209266911,1.022646196,3.062044701
0.343292151,0.86278811,2.095777126,2.029397038,2.095777126,0.428326104,1.375307933,2.095777126,2.029397038,2.355490882,0.668177877,2.419048311,2.533849769,3.111850487,3.111850487,0.916235947,2.480335882,2.909685295,3.111850487,3.111850487,-0.142766067,0.60480483,1.38008281,3.350759962,4.191788734
0,-0.182841429,0.829180917,0.803108761,2.393191316,0,0.434121468,0,0.117903342,1.010688505,0.432700665,0,0.782860449,1.605129737,2.21688312,-0.152579585,-0.466082872,0.535275005,0.883627301,2.419048311,0.071787753,-0.104888982,0.035468454,0.140138623,1.213585213
0.196047956,0.435908808,0.989771075,2.518183277,2.890761747,0.070290968,0.330121363,0.30572434,1.769162632,3.49795351,0.310280675,0.51047723,1.403854464,2.909685295,2.682501074,0.205780094,0.55999265,1.02778573,1.81064618,2.909685295,-0.113277429,0.50789391,0,1.304981449,3.583404708
0.468746185,0.731584698,1.844820905,2.726723627,3.029207325,0.468746185,-0.607191763,0.764156445,1.949327142,2.699085962,-0.179052718,0.181176041,1.167693262,1.963027381,3.111850487,0,0,0.207134073,1.518655922,2.239995593,0.07690258,-0.485325127,0,0.749366663,2.881927391
-0.182841429,1.647906536,3.049580135,4.114916406,4.920248675,0,1.239483989,1.990871454,3.42105093,4.920248675,-0.060128084,1.07730115,1.735843159,2.909685295,2.909685295,-0.057252837,0.249711975,0.816715282,2.682501074,3.111850487,0.07690258,0.384293002,0.122913835,1.619602264,3.680764686
