subjID,trialNum,uniqueID,trialType,numInSequence,numCorrect,ITI,Total Trial Duration,Volume,Correct Sequence,Response Sequence,Accuracy
101,2,15,random,7,4,1.5,20.9978728,0.05,"['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Circle', 'Pentagon', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Pentagon', 'Pentagon', 'Diamond', 'Circle']",0.571428571
101,3,5,random,5,4,1.5,19.170573,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon']",0.8
101,4,17,random,7,7,1.5,20.3528748,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Diamond', 'Diamond', 'Circle']",1
101,5,7,random,6,6,1.5,18.6073902,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Diamond']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Diamond']",1
101,6,3,random,5,3,1.5,17.3641103,0.05,"['Diamond', 'Pentagon', 'Circle', 'Diamond', 'Circle']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Diamond']",0.6
101,7,16,random,7,7,1.5,20.4898853,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Diamond', 'Pentagon']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Circle', 'Diamond', 'Pentagon']",1
101,8,13,random,7,3,1.5,23.2233965,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Diamond', 'Circle']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Pentagon', 'Circle', 'Diamond']",0.428571429
101,9,9,random,6,6,1.5,20.7243812,0.05,"['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Pentagon', 'Pentagon', 'Circle']",1
101,10,14,random,7,7,1.5,20.2250823,0.05,"['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Circle', 'Diamond', 'Circle']",1
101,11,12,random,6,3,1.5,18.7193553,0.05,"['Pentagon', 'Diamond', 'Circle', 'Circle', 'Diamond', 'Circle']","['Pentagon', 'Diamond', 'Circle', 'Diamond', 'Circle', 'Diamond']",0.5
101,12,4,random,5,5,1.5,17.8850526,0.05,"['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Diamond', 'Pentagon']",1
101,13,1,random,5,4,1.5,16.2268934,0.05,"['Pentagon', 'Circle', 'Diamond', 'Circle', 'Pentagon']","['Pentagon', 'Circle', 'Diamond', 'Circle', 'Diamond']",0.8
101,14,10,random,6,4,1.5,20.3766977,0.05,"['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Circle', 'Diamond']","['Diamond', 'Pentagon', 'Circle', 'Pentagon', 'Diamond', 'Circle']",0.666666667
101,15,6,random,5,5,1.5,18.6862502,0.05,"['Diamond', 'Pentagon', 'Circle', 'Circle', 'Pentagon']","['Diamond', 'Pentagon', 'Circle', 'Circle', 'Pentagon']",1
101,16,11,random,6,6,1.5,19.6436159,0.05,"['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond']","['Circle', 'Diamond', 'Pentagon', 'Diamond', 'Pentagon', 'Diamond']",1
