caseid,weight,sample,int_date,lang,cregion,state,usr,density,form,q1,q2a,q2b,q2c,q2e,q2f,q2gf1,q2hf2,q3,q4,q5a,q5b,q5c,q6,conf.external,conf.internal,q9f1,q9f1_code1,q9f1_code2,q9f1_code3,q12a,q12b,q13,evol1,evol2,evol.science3,q20f1,q21af2,q21bf2,q21cf2,global.warm.science,q24a,q24b,q24c,q24d,q24e,q24f,q25,q27,q28,q29,q30,big.bang.science,q33,q34,q35,q37,q38,gmo.science,q40,q41,knosct14,knosct15,knosct16,knosct17,knosct18,knosct19,knowledge.sum,sexz,agerec,educ2,scideg,hisp,racecmb,race3m1,race3m2,race3m3,race3m4,racethn,birth_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,reg,party,partyln,ideo,hh1,hh3,eminuse,intmob,ql1,ql1a,qc1,believ,believ2,filter_$,agreement.science.MEAN,COO_1,COO_2,agreement.science.2MEAN,COO_3,COO_4,religion.2cat
206847,1.57142857142857,2,82114,1,3,24,S,4,1,2,1,1,1,2,9,2, ,1,1,1,1,1,1,2,2, , , , ,1,1,2,1,1,1,1, , , ,2,1,1,1,2,1,1,2,1,1,1,2,1,2,2,1,4,1,1,1,3,1,2,1,3,2,1,6,1,67,6,2,2,1,1, , , ,1, ,1,3,2, ,1, ,2,4,4,1,3,1,3,5,5,1,1, , ,1,1,1,1,1.25,.000247537950228752,.000301869131416472,1,.00040158818490766,.000342875528511672,1
206866,7.21428571428571,2,82014,2,3,47,U,4,2,2,2,9,2,9,2, ,2,2,1,2,1,2,1,1,1, , , , ,1,2,1,1,1,1, ,1,2, ,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,3,1,2,8,1,1,1,3,2,29,1, ,1,5,7, , , ,3,3, ,2,1,2,1, ,2,2,2,3,3,9,5,3,2,2,1, , ,2,1,1,1,1.5,3.43376419248847E-006,5.1745253216919E-006,1.5,1.31657525776615E-005,2.25380370126862E-005,1
206867,11.0714285714286,2,82014,1,1,42,U,5,1,1,3,1,4,3,3,4, ,2,1,1,1,1,1,1,2, , , , ,2,2,1,2, ,1,2, , , ,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,3,1,1,2,3,1,2,1,3,2,4,5,1,38,3, ,2,2,2, , , ,2, ,1,6,2, ,1, ,2,4,3,3,2, ,3,3,3,1,1, , ,2,1,1,1,1.25,.000162982087014219,.000201084340018467,1,.00043360453683612,.000452060659091192,1
206885,17.4285714285714,2,82214,1,3,1,S,2,1,2,3,3,3,2,3,3, ,1,3,1,9,1,1,2,2, , , , ,1,1,1,1,1,1,2, , , ,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,2,8,3,3,1,4,1,60,5, ,2,1,1, , , ,1, ,1,5,2, ,1, ,1,3,4,2,1, ,3,2,2,1,2, , ,2,1,1,1,1.5,5.1495318501732E-006,5.72982031994035E-006,1.5,3.09707102827053E-007,2.20599498925789E-006,1
206887,6.78571428571429,2,82014,1,3,48,S,2,2,2,1,1,4,2,1, ,3,2,1,1,2,2,1,2,1, , , , ,1,9,2,2, ,2, ,1,2, ,2,2,1,1,2,1,1,1,1,2,1,2,2,2,1,2,1,9,1,2,3,1,2,1,3,1,1,5,1,46,3, ,2,1,1, , , ,1, ,1,1,2, ,1, ,1,6,6,1,1, ,2,4,4,1,1, , ,2,1,1,1,1.75,.000336014106132559,.000376445000579142,2,.00122473326709807,.00113998074807167,1
206929,5.57142857142857,2,82114,1,3,13,R,1,1,2,4,4,4,3,4,4, ,1,2,1,1,1,1,2,2, , , , ,2,2,2,2, ,2,1, , , ,2,1,2,1,1,1,2,2,1,2,2,2,2,1,1,2,1,2,2,1,3,3,1,1,1,2,1,3,1,69,1, ,2,1,1, , , ,1, ,1,3,2, ,1, ,1,1,1,3,3,2,2,2,2,2,1, , ,2,1,1,1,2,.00103372591484978,.0012176600902431,2,.000719344113514374,.000791822526885646,1
206972,16.4285714285714,2,82014,1,2,17,S,2,1,2,2,1,4,2,4,1, ,3,1,1,1,3,1,2,1,1,36, , ,2,2,2,2, ,2,3, , , ,2,1,1,1,2,1,2,1,2,1,1,1,2,2,2,1,4,1,2,1,3,1,2,1,3,2,1,6,1,53,5, ,2,1,1, , , ,1, ,1,1,2, ,1, ,1,2,6,1,1, ,2,2,2,1,1, , ,1,1,1,1,2,.00170108515424457,.0019472068714908,2,.0016144481533387,.00159272295229878,1
207006,1.78571428571429,2,82214,1,3,24,S,4,1,2,1,1,1,2,2,2, ,2,1,1,1,2,9,1,2, , , , ,1,1,1,1,9,1,1, , , ,1,1,2,9,1,2,2,2,1,1,1,2,2,2,1,2,3,1,2,1,3,1,8,8,2,8,2,1,2,78,8,2,2,2,2, , , ,2, ,1,5,2, ,1, ,1,3,5,1,2, ,3,2,2,1,1, , ,1,1,1,1,1.5,.00011220670512516,9.81640468210844E-005,1.5,3.61633782533636E-005,7.88896376252745E-005,1
207103,5.07142857142857,2,82114,1,3,48,S,5,2,1,3,1,3,4,3, ,3,3,1,1,1,1,1,2,1, , , , ,1,1,2,1,2,1, ,1,1, ,1,2,1,9,1,1,2,1,1,2,2,2,1,1,1,1,4,1,1,2,3,1,2,1,3,2,1,6,1,20,3, ,2,1,1, , , ,1, ,1,6,2, ,1, ,1,2,3,3,3,2,3,5,5,1,1, , ,2,1,1,1,1,.00184359321221112,.00227725233129111,1,.00102340763729401,.00076536250167484,1
207122,7.35714285714286,2,82414,1,3,12,S,5,1,2,2,1,2,2,4,1, ,1,1,1,1,1,1,1,2, , , , ,1,1,1,1,9,1,2, , , ,1,9,9,2,2,2,2,2,1,2,9,2,1,2,1,2,2,1,2,3,3,1,2,1,3,2,1,6,1,25,4, ,1,1,1, , , ,3,3, ,6,2,1,1, ,2,3,10,2,3,2,3,2,2,1,1, , ,2,1,1,1,1.25,7.73197677210254E-005,9.82504369489173E-005,1,.000298842561662514,.000347893132381544,1
