scoreHard,scoreMedium,scoreEasy,scoreAverage,scoreComp,Round1,condition,perfChange1 ,momentum1,perfChange2,momentum2,likelyWin,playAgain,familiarTask,education,age,gender,fun,mood,easierHarder
16,11,17,15,16,Hard,posMom,3,66,3,58,4,1,3,2,36,2,5,7,3
7,8,15,10,11,Hard,posMom,6,82,6,81,8,1,3,3,31,1,4,2,3
12,21,21,18,13,Hard,posMom,7,98,7,94,10,1,5,3,50,2,6,4,3
7,10,15,11,13,Hard,posMom,6,86,7,97,7,1,1,3,27,2,6,6,3
13,12,15,13,16,Hard,posMom,4,78,5,75,8,1,3,3,37,2,6,6,3
6,12,14,11,17,Easy,negMom,3,0,2,0,1,1,2,3,28,1,4,5,2
3,10,7,7,0,Hard,posMom,6,69,4,50,1,2,2,3,50,2,2,4,3
19,18,12,16,26,Easy,negMom,6,76,6,73,9,1,2,2,27,1,5,6,3
8,8,10,9,13,Easy,negMom,3,87,4,90,8,1,2,2,49,2,6,7,3
4,7,11,7,8,Hard,posMom,6,54,7,85,5,1,2,2,41,1,4,3,3
3,12,10,8,13,Easy,negMom,5,64,2,50,5,1,2,3,30,1,5,5,2
27,21,26,25,39,Easy,negMom,4,88,5,99,5,1,3,2,27,2,6,4,3
7,8,11,9,11,Hard,posMom,5,51,6,71,3,1,2,2,42,1,2,5,3
5,6,15,9,9,Easy,negMom,2,21,2,22,3,1,3,3,34,1,5,4,2
1,1,1,1,0,Hard,posMom,4,49,5,63,7,2,3,2,24,1,1,1,3
7,7,12,9,11,Hard,posMom,4,26,6,62,4,1,2,2,28,1,4,5,3
13,16,17,15,0,Hard,posMom,5,46,5,50,10,2,1,3,26,1,2,5,1
3,8,10,7,0,Hard,posMom,5,59,7,89,5,2,1,3,39,1,4,6,3
13,19,20,17,18,Easy,negMom,4,50,3,36,5,1,3,3,36,2,2,4,2
6,5,7,6,10,Hard,posMom,4,87,4,86,4,1,1,3,30,2,2,6,3
5,4,2,4,0,Hard,posMom,2,46,1,19,2,2,1,2,40,1,2,3,2
6,6,8,7,10,Easy,negMom,3,60,3,50,10,1,2,2,30,1,2,4,3
4,7,4,5,0,Hard,posMom,5,16,7,64,4,2,2,2,25,1,4,5,1
8,10,2,7,10,Easy,negMom,7,88,5,65,9,1,1,3,65,1,2,5,3
9,6,13,9,8,Easy,negMom,2,100,5,100,8,1,2,2,58,2,5,6,2
2,2,1,2,0,Hard,posMom,4,54,4,61,7,2,1,2,27,1,2,2,3
7,10,18,12,12,Easy,negMom,2,36,2,21,5,1,1,3,29,2,6,5,2
8,12,15,12,0,Easy,negMom,3,78,1,50,3,2,2,2,54,2,2,4,2
6,9,8,8,10,Easy,negMom,4,20,2,6,1,1,2,3,31,2,2,4,3
16,32,33,27,34,Easy,negMom,3,71,1,31,5,1,3,3,36,2,5,2,2
12,11,9,11,11,Easy,negMom,7,100,7,100,10,1,1,3,64,2,5,1,3
7,3,9,6,0,Hard,posMom,3,41,4,40,2,2,2,3,27,1,2,3,3
10,15,20,15,17,Easy,negMom,3,23,1,2,1,1,3,2,35,2,2,5,2
20,19,19,19,23,Easy,negMom,4,50,5,62,6,1,2,4,28,1,4,6,3
2,0,0,1,0,Hard,posMom,6,85,7,57,3,2,1,3,25,1,1,2,2
7,8,12,9,16,Hard,posMom,5,59,5,74,7,1,1,3,37,2,4,4,1
1,4,8,4,8,Hard,posMom,5,50,6,71,4,1,1,4,64,2,5,2,1
6,8,7,7,11,Hard,posMom,5,50,4,50,5,1,2,2,30,2,5,6,1
18,15,21,18,0,Easy,negMom,3,71,3,83,9,2,3,3,33,2,5,6,3
4,8,9,7,10,Easy,negMom,4,80,1,38,2,1,2,3,44,2,4,4,2
7,6,11,8,8,Hard,posMom,3,50,6,93,4,1,2,4,34,2,5,5,3
7,9,8,8,13,Easy,negMom,7,93,6,78,5,1,1,3,32,2,6,7,2
5,5,6,5,0,Hard,posMom,4,48,5,52,3,2,2,3,34,2,4,6,3
4,6,12,7,0,Hard,posMom,4,51,5,50,1,2,1,4,37,1,2,4,1
12,8,9,10,14,Hard,posMom,3,38,5,50,4,1,3,2,36,1,4,3,3
4,8,8,7,9,Hard,posMom,5,50,5,63,2,1,3,4,40,1,5,5,1
16,21,28,22,29,Hard,posMom,6,70,6,58,9,1,4,2,25,2,6,4,1
5,5,5,5,9,Easy,negMom,4,51,4,68,6,1,2,2,45,2,5,2,1
2,10,14,9,9,Easy,negMom,3,52,1,29,1,1,2,3,45,2,6,5,2
19,19,10,16,21,Easy,negMom,7,88,6,74,8,1,3,2,39,2,5,6,3
5,13,9,9,10,Easy,negMom,6,46,3,37,4,1,3,3,34,2,5,6,3
5,6,5,5,14,Easy,negMom,5,48,4,36,3,1,1,2,34,2,4,5,3
5,9,13,9,11,Hard,posMom,6,78,7,90,8,1,5,2,60,2,6,7,2
6,1,11,6,6,Easy,negMom,1,1,5,46,5,1,2,3,23,1,4,3,2
5,9,11,8,11,Hard,posMom,5,73,7,92,5,1,1,3,50,2,5,6,1
5,3,9,6,0,Hard,posMom,2,22,5,63,4,2,2,2,45,1,2,3,1
8,16,12,12,18,Easy,negMom,6,88,1,50,5,1,3,3,58,2,4,5,3
3,4,2,3,6,Hard,posMom,5,59,1,3,1,1,2,3,22,1,4,5,2
19,17,19,18,21,Hard,posMom,3,39,4,24,4,1,3,4,31,1,2,3,3
7,6,8,7,10,Easy,negMom,2,52,5,40,5,1,1,2,20,2,5,5,3
6,11,15,11,0,Hard,posMom,6,47,6,41,2,2,3,2,44,2,4,4,1
13,7,10,10,14,Easy,negMom,1,17,5,44,4,1,2,2,40,2,5,6,3
1,2,2,2,0,Easy,negMom,4,49,4,50,5,2,1,2,24,2,2,5,2
4,8,14,9,0,Hard,posMom,5,68,6,87,5,2,3,3,25,1,4,4,1
4,7,9,7,0,Hard,posMom,5,6,6,24,5,2,3,3,44,2,5,3,1
7,8,8,8,9,Easy,negMom,4,51,3,29,1,1,4,3,50,2,5,5,3
2,4,6,4,3,Easy,negMom,3,63,1,53,2,1,2,2,33,1,4,3,2
3,8,6,6,0,Easy,negMom,6,53,4,26,3,2,2,3,44,1,2,4,2
8,8,10,9,0,Hard,posMom,4,60,5,57,3,2,2,2,64,1,2,3,2
6,5,11,7,10,Hard,posMom,2,52,5,67,5,1,2,2,38,2,5,5,3
5,9,11,8,12,Easy,negMom,3,54,2,36,3,1,1,4,49,1,5,6,2
7,7,8,7,10,Easy,negMom,3,41,4,27,6,1,2,4,37,1,2,4,3
12,9,15,12,7,Easy,negMom,3,45,3,62,8,1,1,3,26,2,5,2,2
4,11,6,7,9,Hard,posMom,5,54,3,48,3,1,2,3,34,2,4,5,1
13,12,17,14,23,Easy,negMom,2,29,2,4,3,1,2,3,33,2,4,4,3
5,7,10,7,0,Hard,posMom,5,28,5,40,5,2,2,4,45,1,4,5,3
6,10,11,9,13,Easy,negMom,3,19,2,6,2,1,1,4,42,2,5,6,3
9,10,15,11,15,Hard,posMom,5,44,6,57,6,1,2,3,35,2,6,6,1
6,9,9,8,0,Easy,negMom,4,44,3,27,6,2,3,2,35,2,2,3,2
7,8,10,8,9,Easy,negMom,6,86,5,87,9,1,1,3,43,1,2,7,1
14,19,15,16,16,Hard,posMom,5,46,4,9,3,1,2,4,26,3,2,5,3
1,3,2,2,2,Hard,posMom,5,37,5,42,1,1,1,2,59,1,5,6,3
