Crime Language,CrimP PPrspPctivP,Gender,Age,Age of Acquisition English,English written comprehension,English written production,English oral comprehension,English oral production,English overall proficiency,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Comprehension Scenario 1,Comprehension Scenario 2,Comprehension Scenario 3,Comprehension Scenario 4
D,P,f,13,13,6,5,6,5,5.5,8.4,8.7,8.7,8.6,100,99,95,95
D,P,f,18,13,6,6,7,6,6.25,8.3,7.7,9,8.2,70,90,90,95
D,P,f,18,13,6,6,7,6,6.25,7.8,8.2,8.6,8.6,90,95,85,90
D,P,f,19,12,5,5,6,6,5.5,6.1,4.4,8.6,7.8,100,100,80,100
D,P,f,18,11,7,6,7,6,6.5,5,6.1,5.3,6.5,75,75,89,89
D,P,m,18,8,6,6,6,6,6,6,8.7,8.9,7.1,80,100,100,100
D,P,f,18,14,5,6,6,6,5.75,5.6,7.9,8.3,7.9,100,100,100,100
D,P,f,19,13,4,4,6,5,4.75,5.7,2.4,7.9,7,100,100,100,100
D,P,m,19,13,6,5,7,6,6,5.5,6.8,6.7,6.8,95,100,100,85
D,P,f,18,13,7,6,7,6,6.5,6.7,8.9,8.6,6.2,100,100,100,100
D,P,f,17,12,6,6,7,6,6.25,9,7.4,8.6,9,95,100,100,100
D,P,f,18,11,7,7,4,4,5.5,8.7,8,7.9,8.5,60,70,90,90
D,P,f,34,13,6,6,5,4,5.25,9,9,9,9,100,100,100,100
D,P,f,18,13,5,5,6,6,5.5,8.2,7.7,8,8,90,90,90,90
D,P,f,18,13,5,4,5,4,4.5,5.8,8,7.1,8,100,100,100,100
D,P,f,17,14,6,5,6,5,5.5,8.4,6.2,8,9,100,100,100,100
D,P,f,18,14,5,5,5,5,5,8.1,6.3,8.1,7.9,100,100,100,100
D,P,f,18,12,4,4,4,2,3.5,8.8,9,7.4,9,77,77,77,77
D,P,f,18,14,6,5,5,3,4.75,8.8,5.6,9,6.7,100,100,100,100
D,P,m,18,12,7,6,6,6,6.25,5.3,5.5,6.8,6.4,100,100,100,100
D,P,f,21,13,5,4,6,5,5,9,9,9,9,99,99,99,99
D,P,m,18,14,5,3,5.5,3,4.125,5.2,6.3,7.3,9,100,100,100,100
D,P,f,18,12,6,5,6,5,5.5,7.7,8.6,8.8,7.7,95,97,95,90
D,P,f,17,13,,,,,,8.2,5.9,8.5,6.1,,,,
D,P,f,17,13,5,5,6,5,5.25,7.4,7.2,8.2,7.4,99,99,98,99
D,P,f,18,13,6,5,6,6,5.75,8.7,6.9,9,9,,,,
D,P,f,18,12,6,6,6,6,6,8.2,8.4,9,9,95,90,95,95
D,P,f,18,12,7,6,7,7,6.75,6.5,8.2,9,8.3,100,100,100,100
D,P,f,18,12,6,5,6,6,5.75,6.6,7.1,7.6,9,79,89,75,71
D,P,f,18,13,7,6,7,6,6.5,9,9,9,9,100,100,100,100
D,P,f,18,12,6,6,6,5.5,5.875,7.8,5.7,7.9,8.9,90,90,90,90
D,P,f,17,12,5,5,4.5,4,4.625,5,7.6,7.7,7.7,100,70,100,100
D,P,f,18,10,6,6,6,6,6,8.5,7.1,8.8,7.6,90,90,80,75
D,P,f,18,14,5,5,5,5,5,7.6,7.4,7.6,9,99,97,97,100
D,P,f,18,13.5,6,6,6,6,6,5.7,7.1,7.3,6.2,75,78,73,84
D,P,f,17,13,5,6,6,6,5.75,7.8,7.6,9,8.9,100,95,90,90
D,P,m,18,12,6,4,5,4,4.75,7.8,7,6.8,9,95,95,95,95
D,P,f,18,12,6,5,6,5,5.5,7.1,7,8.8,8.8,90,90,90,90
D,P,m,21,11,6,6,6,6,6,9,9,8.9,9,85,85,75,79
D,P,f,18,10,6,6,6,5,5.75,9,9,9,9,90,90,90,90
D,P,f,28,10,5,4,6,5,5,7.9,8.1,8.1,8.1,100,100,100,100
D,P,f,19,11,5,5,6,6,5.5,7.3,6.4,9,7,90,90,90,90
D,P,f,18,13,3,4,5,6,4.5,7.5,7.5,5.6,8,79,93,80,85
D,P,f,18,9,4,4,4,4,4,9,7,9,9,90,80,80,80
D,P,f,18,12,6,6,6,6,6,7.6,9,5.7,6.6,90,95,90,90
D,P,f,18,8,7,7,7,7,7,9,9,9,9,100,100,100,100
D,P,f,17,11,5,5,6,4,5,9,9,9,9,100,100,100,100
D,P,f,22,11,7,7,7,7,7,8.2,7.2,9,8.7,100,90,100,80
D,P,f,17,14,6,6,7,6,6.25,9,7.3,7.5,9,90,90,90,90
D,P,f,17,12,7,6,7,6,6.5,5.7,6,7,7.7,100,100,100,100
D,P,f,18,12,7,7,7,6,6.75,9,9,9,9,100,100,100,100
D,P,f,18,12,6,4,5,3,4.5,6.5,7.7,7.6,7.2,100,100,90,100
D,P,f,18,2,7,4,7,5,5.75,6.7,5.5,6.5,7,100,100,100,100
D,P,f,19,14,6,6,7,6,6.25,7.3,6.7,7.4,6.3,100,100,100,100
D,P,f,18,13,6,6,6,6,6,6.5,5,8.5,7.5,95,95,95,100
D,P,m,20,11,6,6,6,6,6,6.5,6.3,7.8,6.3,90,90,90,90
D,P,f,18,13,5,4,4,5,4.5,5.7,6.9,7.5,6.3,80,80,80,80
D,P,f,18,12,5,4,6,5,5,6.2,6.5,6.2,8,100,100,100,100
D,P,f,18,13,6,7,7,5,6.25,7.3,7,5.3,6.5,100,100,100,100
D,P,f,17,13,7,5,6,5,5.75,5.2,8.5,9,8.2,70,75,70,70
D,P,f,17,13,6,5,6,6,5.75,6.3,8,7.6,8.6,100,100,100,100
D,P,f,18,14,5,4,4,4,4.25,9,8.7,9,8.7,80,84,75,78
D,P,f,18,13,4,4,6,5,4.75,9,8,9,9,75,100,80,90
D,P,f,18,13,5,6,6,5,5.5,7.8,8.2,8,6.7,100,100,100,100
D,P,f,18,13,7,2,4,3,4,9,8,9,9,85,80,75,85
D,P,f,18,12,5,4,6,7,5.5,8,5.5,7.7,7.7,100,100,100,100
D,P,f,18,13,5,4,5,4,4.5,7,8,8.5,5.5,100,100,100,100
D,P,f,18,12,6,6,7,5,6,5.5,8.5,7.3,6,100,100,100,100
D,P,f,18,13,6,5,6,6,5.75,5.5,6,9,7.5,100,100,100,100
D,P,f,18,13,6,5,6,5,5.5,5.5,8.2,6,7,100,100,100,100
D,P,m,18,8,5,5,6,5,5.25,9,8.3,9,9,90,90,90,95
