id,draw,score,R,P,S,,W,L,D,,RT after W,RT after L,RT after D,,WinStay,LoseShift,DrawShift,,Final Score
22,-1,no,0.266666666666667,0.388888888888889,0.344444444444444,,0.266666666666667,0.422222222222222,0.311111111111111,,333.5,492,501,,0.5,0.631578947368421,0.777777777777778,,-42
23,-1,no,0.333333333333333,0.333333333333333,0.333333333333333,,0.355555555555556,0.355555555555556,0.288888888888889,,217,184,242,,0.1875,0.612903225806452,0.384615384615385,,-26
24,-1,no,0.388888888888889,0.255555555555556,0.355555555555556,,0.355555555555556,0.322222222222222,0.322222222222222,,384,1451,701,,0.806451612903226,0.724137931034483,0.689655172413793,,-26
25,-1,no,0.288888888888889,0.344444444444444,0.366666666666667,,0.366666666666667,0.288888888888889,0.344444444444444,,300,184,234,,0.53125,0.730769230769231,0.67741935483871,,-24
26,-1,no,0.4,0.288888888888889,0.311111111111111,,0.255555555555556,0.411111111111111,0.333333333333333,,234,158.5,125.5,,0.347826086956522,0.5,0.6,,-44
27,-1,no,0.388888888888889,0.266666666666667,0.344444444444444,,0.366666666666667,0.344444444444444,0.288888888888889,,334,217,284,,0.303030303030303,0.774193548387097,0.8,,-24
28,-1,no,0.355555555555556,0.322222222222222,0.322222222222222,,0.4,0.4,0.2,,200.5,158.5,217,,0.555555555555556,0.972222222222222,0.764705882352941,,-18
29,-1,no,0.266666666666667,0.533333333333333,0.2,,0.288888888888889,0.388888888888889,0.322222222222222,,184,217,317,,0.48,0.542857142857143,0.517241379310345,,-38
30,-1,no,0.311111111111111,0.355555555555556,0.333333333333333,,0.366666666666667,0.311111111111111,0.322222222222222,,884,609,834.5,,0.242424242424242,0.928571428571429,0.75,,-24
31,-1,no,0.277777777777778,0.355555555555556,0.366666666666667,,0.333333333333333,0.311111111111111,0.355555555555556,,1209.5,1351,842.5,,0.333333333333333,0.814814814814815,0.8125,,-30
32,-1,no,0.277777777777778,0.377777777777778,0.344444444444444,,0.322222222222222,0.355555555555556,0.322222222222222,,300,208.5,300,,0.482758620689655,0.6875,0.892857142857143,,-32
33,-1,no,0.355555555555556,0.311111111111111,0.333333333333333,,0.388888888888889,0.244444444444444,0.366666666666667,,150,117,250,,0.285714285714286,0.571428571428571,0.787878787878788,,-20
34,-1,no,0.288888888888889,0.277777777777778,0.433333333333333,,0.333333333333333,0.322222222222222,0.344444444444444,,234,217,200,,0.137931034482759,0.689655172413793,0.806451612903226,,-30
35,-1,no,0.288888888888889,0.422222222222222,0.288888888888889,,0.266666666666667,0.4,0.333333333333333,,200,184,142,,0.625,0.828571428571429,0.833333333333333,,-42
36,-1,no,0.344444444444444,0.344444444444444,0.311111111111111,,0.288888888888889,0.322222222222222,0.388888888888889,,334,459,701,,0.115384615384615,0.892857142857143,0.914285714285714,,-38
1,1,no,0.144444444444444,0.644444444444444,0.211111111111111,,0.311111111111111,0.277777777777778,0.411111111111111,,234,325.5,400,,0.785714285714286,0.25,0.135135135135135,,40
2,1,no,0.377777777777778,0.344444444444444,0.277777777777778,,0.277777777777778,0.377777777777778,0.344444444444444,,567,818,784,,0.36,0.757575757575758,0.709677419354839,,22
3,1,no,0.277777777777778,0.322222222222222,0.4,,0.3,0.377777777777778,0.322222222222222,,450,450,317,,0.481481481481481,0.696969696969697,0.586206896551724,,22
4,1,no,0.433333333333333,0.288888888888889,0.277777777777778,,0.355555555555556,0.377777777777778,0.266666666666667,,317,300,284,,0.09375,0.794117647058823,0.91304347826087,,22
5,1,no,0.366666666666667,0.311111111111111,0.322222222222222,,0.333333333333333,0.377777777777778,0.288888888888889,,392,358.5,284,,0.2,0.882352941176471,0.64,,22
6,1,no,0.311111111111111,0.4,0.288888888888889,,0.4,0.255555555555556,0.344444444444444,,192,217,100,,0.138888888888889,0.782608695652174,0.733333333333333,,44
7,1,no,0.3,0.322222222222222,0.377777777777778,,0.4,0.288888888888889,0.311111111111111,,258.5,175,234,,0.277777777777778,0.730769230769231,0.740740740740741,,38
8,1,no,0.3,0.388888888888889,0.311111111111111,,0.377777777777778,0.3,0.322222222222222,,308.5,217,234,,0.558823529411765,1,0.892857142857143,,36
9,1,no,0.355555555555556,0.288888888888889,0.355555555555556,,0.288888888888889,0.355555555555556,0.355555555555556,,442.5,408.5,634,,0.692307692307692,0.90625,0.290322580645161,,26
