scoreHard,scoreMedium,scoreEasy,scoreAverage,scoreComp,Round1,status,condition,perfChange1 ,momentum1,perfChange2,momentum2,likelyWin,playAgain,familiarTask,education,age,gender,fun,mood,easierHarder,dweckNeg1,dweckNeg2,dweckNeg3,dweckNeg4,dweckNeg1rev,dweckNeg2rev,dweckNeg3rev,dweckNeg4rev,dweckPos1,dweckPos2,dweckPos3,dweckPos4,dweckAvg,compStats
7,7,11,8,8,Hard,Favorite,posMomFav,4,100,7,100,10,1,2,3,32,2,6,5,2,6,5,6,5,2,3,2,3,2,2,2,3,2.375,1
6,10,14,10,0,Hard,Underdog,posMomUnder,5,14,5,29,4,2,1,3,54,2,2,3,1,4,5,5,4,4,3,3,4,4,5,6,4,4.125,
16,16,12,15,17,Easy,Favorite,negMomFav,5,86,6,94,7,1,2,2,49,2,6,7,3,3,2,2,3,5,6,6,5,4,6,6,5,5.375,1
3,4,7,5,0,Hard,Underdog,posMomUnder,5,34,6,61,3,2,2,2,50,1,2,4,1,3,3,3,3,5,5,5,5,4,5,4,4,4.625,
5,8,8,7,10,Easy,Favorite,negMomFav,4,44,1,53,10,1,1,3,29,2,6,2,2,6,5,5,6,2,3,3,2,6,4,5,6,3.875,1
13,12,13,13,10,Hard,Underdog,posMomUnder,4,44,4,48,6,1,1,2,31,2,4,5,3,4,3,2,2,4,5,6,6,5,6,6,6,5.5,2
18,25,35,26,37,Hard,Favorite,posMomFav,5,70,6,88,10,1,3,3,37,1,5,6,1,3,3,2,3,5,5,6,5,5,6,6,5,5.375,1
8,7,12,9,18,Hard,Favorite,posMomFav,5,54,6,70,5,1,3,3,40,1,5,6,1,3,2,5,5,5,6,3,3,3,6,6,6,4.75,1
5,6,9,7,9,Easy,Underdog,negMomUnder,3,28,3,28,5,1,3,2,26,1,4,6,3,4,2,2,2,4,6,6,6,6,5,5,4,5.25,1
7,9,15,10,0,Easy,Underdog,negMomUnder,1,28,2,27,1,2,1,3,32,2,4,5,2,5,5,5,5,3,3,3,3,5,5,5,5,4,
7,5,9,7,0,Easy,Underdog,negMomUnder,3,50,5,54,5,2,4,3,65,1,2,4,2,3,3,3,3,5,5,5,5,5,5,5,5,5,
9,12,15,12,11,Hard,Favorite,posMomFav,5,24,5,37,7,1,1,2,24,1,2,5,1,2,2,2,2,6,6,6,6,6,6,6,6,6,2
9,9,15,11,0,Easy,Underdog,negMomUnder,3,66,3,50,5,2,2,3,43,1,4,4,3,3,3,3,3,5,5,5,5,5,5,6,5,5.125,
