"Position","S_StillLose","S_Impact","B_StillLose","B_impact","sex","country","job","educat","eduyrs_1","age_1","SComp","BComp","B_C1","B_C2","B_C3","B_C4","B_C5","B_C6","S_C1","S_C2","S_C3","S_C4","S_C5","S_C6","S_good","B_good"
"late",5,6,3,3,2,1,6,2,16.0,49.0,4.0,2.6666666666666665,3,2,3,3,3,2,4,4,4,4,4,4,6,4
"late",5,4,7,7,1,1,1,4,11.0,53.0,3.6666666666666665,3.3333333333333335,4,3,4,3,3,3,3,4,4,3,4,4,4,5
"early",7,5,7,1,2,1,5,4,12.0,46.0,2.5,2.0,2,2,3,2,1,2,2,3,4,2,2,2,4,2
"late",5,4,3,5,2,1,2,3,20.0,43.0,2.6666666666666665,2.6666666666666665,2,3,3,2,2,4,2,3,3,2,3,3,3,2
"early",5,5,6,4,1,1,3,4,13.0,39.0,4.333333333333333,4.0,5,5,3,4,4,3,5,5,4,5,4,3,7,4
"early",6,3,6,3,2,1,6,2,16.0,43.0,2.0,2.8333333333333335,3,3,3,2,3,3,2,2,2,2,2,2,3,4
"early",6,4,7,4,2,1,2,2,20.0,29.0,3.1666666666666665,3.5,4,4,3,3,4,3,4,3,3,3,3,3,4,4
"late",7,6,6,7,1,1,1,1,17.0,31.0,3.0,3.3333333333333335,4,3,3,4,3,3,3,3,3,3,4,2,4,4
"late",7,6,4,4,2,1,1,3,14.0,47.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"late",6,5,7,6,2,1,1,2,16.0,42.0,2.1666666666666665,2.6666666666666665,3,3,3,2,3,2,2,2,3,3,2,1,1,4
"early",7,2,7,3,1,1,1,4,12.0,28.0,3.0,3.3333333333333335,3,4,4,3,3,3,4,3,3,2,3,3,2,4
"early",7,1,7,1,2,1,1,1,18.0,35.0,2.1666666666666665,2.1666666666666665,2,2,3,2,2,2,2,2,3,2,2,2,1,1
"late",4,4,3,6,2,1,1,4,11.0,31.0,2.8333333333333335,3.1666666666666665,4,4,2,2,3,4,3,2,4,3,3,2,3,4
"late",7,7,4,4,2,1,1,4,12.0,66.0,3.8333333333333335,3.8333333333333335,3,4,4,4,4,4,4,4,4,3,4,4,5,7
"early",6,6,6,2,1,1,1,1,18.0,39.0,4.0,2.5,3,3,3,2,2,2,4,4,4,3,4,5,5,3
"late",6,7,1,7,2,1,2,4,13.0,58.0,4.0,3.1666666666666665,4,4,2,2,4,3,4,4,4,4,4,4,6,2
"early",7,4,7,1,2,1,1,2,16.0,26.0,3.5,1.8333333333333333,2,2,3,1,1,2,3,4,4,3,4,3,4,3
"late",6,7,6,5,1,1,2,3,10.0,22.0,4.5,4.0,4,4,3,4,5,4,5,5,4,4,5,4,6,6
"early",5,6,7,1,1,1,1,2,12.0,32.0,5.0,3.3333333333333335,2,4,4,2,4,4,5,5,5,5,5,5,7,2
"early",7,5,7,2,2,1,6,1,18.0,56.0,2.0,3.0,3,3,3,3,3,3,2,2,2,2,2,2,3,3
"late",7,7,7,7,2,1,1,3,12.0,28.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,7,7
"early",5,4,5,5,2,1,1,4,14.0,26.0,3.3333333333333335,3.0,2,3,3,4,3,3,3,3,4,3,3,4,5,4
"late",7,5,7,6,2,1,1,2,17.0,41.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,2,4
"late",7,5,7,5,2,1,1,2,18.0,32.0,2.5,2.5,3,2,3,2,2,3,3,2,3,2,2,3,3,4
"late",7,2,5,3,2,1,1,2,16.0,22.0,2.1666666666666665,2.0,2,2,2,2,2,2,2,2,2,2,2,3,2,2
"late",5,4,3,5,2,1,2,2,16.0,50.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,5
"early",5,6,4,5,2,1,2,3,13.0,34.0,4.166666666666667,3.6666666666666665,3,3,3,5,4,4,5,4,3,4,5,4,5,6
"early",6,3,6,2,2,1,6,2,17.0,34.0,2.6666666666666665,2.1666666666666665,2,2,3,2,2,2,3,3,3,2,2,3,3,3
"late",5,5,5,5,2,1,1,2,16.0,29.0,3.6666666666666665,3.8333333333333335,3,4,4,3,5,4,4,3,3,4,4,4,6,6
"late",5,5,3,7,1,1,1,2,16.0,47.0,3.1666666666666665,2.8333333333333335,4,2,3,3,2,3,4,3,4,2,3,3,3,3
"late",7,5,7,7,2,1,1,1,7.0,26.0,2.6666666666666665,4.166666666666667,3,5,4,4,5,4,3,3,3,3,2,2,1,5
"late",2,5,1,7,2,1,1,1,18.0,25.0,3.0,3.0,3,3,3,3,3,3,3,3,3,3,3,3,4,4
"early",7,6,7,3,2,1,1,2,16.0,32.0,4.0,2.3333333333333335,3,2,3,2,2,2,4,4,4,4,4,4,6,3
