,Gender,Age,Race,Ideo,PartyID,Religiousity,SES,Residency_1,Residency_2,Income,PS,feeling,voting,eval
110,2,17,3,2,3,1,3,1,24,4,4,20,5,125
111,2,20,4,2,2,9,4,1,24,8,2,19,0,95
112,1,22,4,4,5,1,4,1,24,10,1,80,78,79
113,2,20,3,2,2,6,3,1,24,5,3,71,65,68
114,1,21,4,,,,,,,,,,,
115,2,20,3,4,4,9,2,1,31,2,4,30,1,155
116,2,19,3,4,4,1,4,1,24,4,2,25,33,29
117,2,20,3,4,4,5,3,1,24,5,1,12,28,20
118,2,20,4,2,2,3,4,1,24,10,3,90,90,90
119,1,20,4,5,5,5,4,1,24,7,3,51,54,525
120,2,18,4,1,2,3,4,1,24,9,1,93,86,895
121,2,21,3,4,4,6,2,1,24,1,2,31,17,24
122,2,22,4,2,2,6,3,1,24,5,4,40,35,375
123,1,21,3,2,2,1,4,1,24,10,2,1,0,5
124,2,20,4,4,4,5,4,1,14,10,1,92,89,905
125,1,20,3,3,4,3,3,1,24,1,3,100,30,65
126,2,20,4,4,4,8,4,1,14,9,4,87,89,88
127,2,18,4,3,3,3,4,1,24,10,4,39,39,39
128,2,19,"1,4",2,4,2,3,1,24,,3,75,100,875
129,2,23,6,4,3,5,2,1,24,2,2,30,0,15
130,,,,,,,,,,,,,,
131,2,18,4,5,5,8,4,1,24,9,1,50,45,475
132,2,24,1,4,2,5,2,1,24,3,2,0,0,0
133,1,19,4,5,4,8,3,1,51,7,3,71,70,705
134,2,18,4,3,3,6,3,1,51,9,1,57,35,46
135,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,
137,2,18,3,3,3,4,3,1,24,3,4,35,20,275
138,2,19,4,2,2,4,4,1,51,9,3,90,80,85
139,2,19,4,2,2,4,3,1,51,8,4,0,0,0
140,2,19,4,5,5,7,5,1,24,10,1,40,30,35
141,1,18,3,5,4,2,4,1,24,10,2,75,65,70
142,2,19,4,2,2,5,4,1,24,8,4,10,0,5
143,2,18,4,4,5,7,4,1,51,9,2,90,85,875
144,2,17,3,1,1,8,4,1,24,10,1,83,84,835
145,2,20,4,4,5,4,5,1,24,9,3,50,49,495
146,1,23,4,4,4,3,3,1,24,1,3,70,70,70
147,1,23,4,4,4,3,3,1,24,1,1,69,71,70
148,1,18,4,4,5,1,5,1,14,10,2,70,80,75
149,2,21,6,,,,,,,,,,,
150,2,20,4,2,2,4,4,1,24,9,4,43,32,375
151,1,18,4,4,3,6,3,1,24,9,1,60,60,60
152,1,18,4,4,4,7,3,1,24,6,,,,
153,2,20,3,2,2,4,4,1,24,10,3,76,57,665
154,2,19,"3,4",6,5,7,4,1,24,10,2,70,82,76
155,2,19,4,2,3,1,4,1,24,8,4,2,0,1
156,2,20,3,2,2,1,3,1,24,2,1,65,87,76
157,2,19,4,2,2,3,3,1,24,8,4,9,0,45
158,2,18,4,2,2,5,4,1,14,3,3,71,51,61
159,2,20,4,2,1,1,3,1,24,6,2,2,5,35
160,2,21,1,4,4,5,3,1,24,7,2,50,47,485
161,2,18,"1,4",2,2,6,2,1,24,3,,,,
162,2,19,4,3,3,8,3,1,24,3,3,77,66,715
163,1,20,3,3,4,3,2,1,24,1,1,50,90,70
164,2,20,4,5,5,5,3,1,24,8,1,60,34,47
165,2,18,4,6,6,4,3,1,24,9,3,29,61,45
166,2,19,2,2,2,5,2,1,24,2,2,13,11,12
167,1,19,3,4,4,2,3,1,24,7,4,45,30,375
168,2,20,4,2,2,1,4,1,24,8,1,85,96,905
169,1,19,4,6,6,2,4,1,24,10,4,75,80,775
170,2,19,4,2,2,4,3,1,24,7,2,72,60,66
171,2,20,4,6,6,7,4,1,24,10,3,40,40,40
172,2,21,4,2,2,7,3,1,51,7,4,19,0,95
173,1,22,4,6,,7,4,1,24,10,2,71,43,57
174,2,18,4,2,6,7,3,1,24,8,,,,
175,2,20,1,5,5,3,3,1,24,8,1,20,9,145
176,2,20,3,2,2,2,3,1,24,2,4,30,3,165
177,2,24,3,5,5,7,3,1,24,2,1,81,79,80
178,2,20,2,4,1,7,3,1,24,2,2,50,71,605
179,2,18,4,5,3,3,3,1,24,8,3,85,90,875
180,1,20,3,4,4,2,1,1,24,1,4,50,65,575
181,2,21,4,2,2,1,3,1,24,4,1,100,91,955
182,1,18,4,6,5,,3,1,24,8,3,60,59,595
183,2,19,"2,4",3,1,3,2,1,24,2,2,1,0,5
184,2,19,4,1,1,1,3,1,51,6,2,30,10,20
185,2,18,4,2,3,6,4,1,24,9,1,100,90,95
186,,,,,,,,,,,,,,
187,2,19,4,2,3,2,3,1,14,10,3,88,68,78
188,1,19,4,4,4,7,3,1,24,9,4,65,73,69
189,2,18,2,6,6,7,4,1,24,5,4,90,91,905
190,2,20,2,3,2,5,2,1,24,2,3,34,26,30
191,1,21,4,4,4,3,2,1,24,4,2,30,30,30
192,2,19,4,4,5,6,3,1,24,6,1,36,46,41
193,2,18,2,2,2,7,2,1,24,2,1,100,95,975
194,2,18,4,5,4,8,4,1,51,10,4,19,4,115
195,1,21,4,1,1,2,3,1,24,1,2,10,30,20
196,1,22,4,2,2,1,4,1,24,10,3,75,81,78
197,1,19,4,5,5,1,3,1,51,6,4,58,50,54
198,2,21,4,2,2,4,4,1,14,10,1,92,90,91
199,2,20,4,2,2,2,2,1,24,2,2,5,0,25
200,2,18,1,4,4,4,3,1,24,4,3,60,50,55
201,2,23,4,2,1,5,2,1,24,4,3,100,51,755
202,2,18,4,7,7,7,4,1,24,10,4,100,100,100
203,2,20,4,2,2,1,4,1,24,8,2,26,21,235
204,2,20,3,2,2,3,1,1,24,4,1,85,99,92
205,2,20,1,2,3,3,2,1,24,3,3,95,95,95
206,2,18,4,4,4,6,4,1,24,10,2,41,30,355
207,2,19,4,2,3,6,2,1,24,8,4,30,20,25
208,2,19,"2,4",2,2,1,3,1,24,9,1,90,90,90
209,2,20,4,3,4,6,5,1,51,10,1,60,50,55
210,2,20,4,3,4,6,5,1,51,10,2,64,42,53
211,2,20,4,6,6,6,3,1,24,6,3,100,100,100
212,2,20,4,2,2,2,3,1,24,2,2,11,6,85
213,2,18,5,1,1,1,3,1,24,8,3,65,10,375
214,,,,,,,,,,,,,,
215,2,20,4,2,2,3,4,1,24,9,1,96,100,98
216,2,21,3,2,4,1,3,1,24,4,4,20,9,145
217,2,20,4,3,2,6,2,1,24,3,4,30,23,265
218,2,26,4,5,5,7,3,1,24,4,2,76,71,735
219,2,19,3,2,2,8,3,1,24,8,3,34,28,31
220,1,19,4,3,3,3,3,1,24,9,4,40,20,30
221,1,20,4,3,2,1,4,1,24,10,1,90,100,95
222,2,20,3,2,3,5,4,1,24,7,1,64,54,59
223,1,29,4,6,5,7,2,1,24,3,3,15,5,10
224,2,23,4,5,5,3,3,1,24,3,2,91,93,92
225,2,21,4,2,4,3,3,1,24,1,4,61,40,505
