condition	stimulus	Min	Max	Crossover	Slope	exitflag	R	LS	AR	N	status
SelfPaced	plate	0.0100091152716354	0.928497245557549	538.476173717948	0.00248179912716576	2010	0.999324801488146	0.000196133233134396	0.909339316433882	326	1
SelfPaced	plug	0.0282859289511131	0.908045951673467	628.238033433049	0.00162793530850836	2010	0.996417719989735	0.000854307080498307	0.973530600706277	326	1
SelfPaced	plum	0.0455539295224906	0.845534944998936	627.244822596853	0.00246538905627305	2010	0.997138353087589	0.000689826022835001	0.970770980340708	326	1
SelfPaced	race	0.0283421178122316	0.931034418342132	726.892946970721	0.0017048207216822	2010	0.995819628745072	0.0010228733596507	0.976703770366113	326	1
SelfPaced	rake	0.00967996106575036	0.936813849854874	598.040244095764	0.00287450279461518	2010	0.999083576255346	0.000294426969348634	0.926144402134494	326	1
SelfPaced	robe	0.00289973856666748	0.954022979473773	693.791773689217	0.00154313932282912	2010	0.995681468910127	0.00118656863696467	0.982280360323839	326	1
SelfPaced	rose	7.41012443072897e-08	0.93103447073578	673.703283275449	0.00166670182645327	2010	0.997795554151615	0.000613166234832438	0.968225391737233	326	1
SelfPaced	snail	0.04140086955428	0.940476177397978	849.013060879162	0.00159671338208999	2010	0.993576756669296	0.00132920817271676	0.979473460174234	326	1
SelfPaced	snake	0.0190952499665699	0.954022976325291	644.207195439849	0.00150006294467022	2010	0.998968277901727	0.000248258340731021	0.915682034476684	326	1
SelfPaced	web	0.00448583771810696	0.931817789044155	724.822047047213	0.0017543101223448	2010	0.999125740056596	0.000234648471135716	0.918558591514956	326	1
SelfPaced	well	0.0313637372572826	0.917645603451751	666.168649225139	0.00153178062376961	2010	0.997833721390916	0.000487081860301501	0.948528795916969	326	1
Text	bag	3.44940211483014e-06	0.937382454448986	583.420951890105	0.00234730160292146	2010	0.999358502384539	0.000201708596978457	0.924214372525129	326	1
Text	bark	9.01199589398161e-08	0.895557813480685	539.526287707001	0.00222706529736417	2010	0.998906938390408	0.00031620096705964	0.94353530471736	326	1
Text	barn	4.8265225530808e-05	0.861162300265838	531.263318009185	0.00249613750625102	2010	0.998809313730796	0.00031978369382928	0.947531317791701	326	1
Text	bat	3.48086371393386e-08	0.839060079031851	659.952286952035	0.00157227963589983	2010	0.998816835943176	0.000270263732423588	0.930497755997667	326	1
Text	beach	3.222308314621e-08	0.909618545126208	598.313077754136	0.00187474152600457	2010	0.997810396995735	0.000594331004372044	0.965536605559794	326	1
Text	beak	0.0389894292677849	0.906249451719684	683.135948396623	0.00187660448621916	2010	0.996868708701835	0.00079246139765146	0.978794226765595	326	1
Text	bed	1.84412577486359e-07	0.848292144368687	580.470450897889	0.00188108476022181	2010	0.997790237190755	0.000551815491949689	0.968079649680227	326	1
Text	bell	0.00456108022805296	0.914265105565704	556.786148767357	0.00301419290242075	2010	0.999535506762014	0.000143919596490475	0.877103666210299	326	1
Text	braid	3.43061212937368e-07	0.859193890393677	663.875818293565	0.00200126917847455	2010	0.998880219585249	0.000283988185322388	0.938778046616831	326	1
Text	brain	2.63970486025222e-08	0.894736740877238	615.36331580473	0.00179338098749917	2010	0.998092738529963	0.000492397583758623	0.955110065492581	326	1
Text	bug	4.79406298548035e-08	0.894614989060697	516.961045681368	0.0021368541038677	2010	0.997030864888487	0.000777970023383501	0.976531697574662	326	1
Text	bus	0.0175018401361715	0.934314430180721	594.834325882275	0.00249253493283583	2010	0.998211904743781	0.000536054179027049	0.969132574365739	326	1
Text	cab	0.0292532154120218	0.89583330735168	775.773741421585	0.00173535745212982	2010	0.995189821178591	0.00111444127011352	0.981820724621484	326	1
Text	cake	2.44151821932048e-06	0.862777480002837	553.312971378596	0.00169156411837236	2010	0.998439470473737	0.000371859975575211	0.95858669234309	326	1
