"subject","value","name"
"subject10",68.0096814481,"cond_rad_wheelBlind_1.0.csv"
"subject11",50.8866938116,"cond_rad_wheelBlind_1.0.csv"
"subject12",48.014687171,"cond_rad_wheelBlind_1.0.csv"
"subject13",128.350622574,"cond_rad_wheelBlind_1.0.csv"
"subject14",53.6312650492,"cond_rad_wheelBlind_1.0.csv"
"subject15",100.018963539,"cond_rad_wheelBlind_1.0.csv"
"subject16",54.0872618587,"cond_rad_wheelBlind_1.0.csv"
"subject18",111.149160306,"cond_rad_wheelBlind_1.0.csv"
"subject19",77.2282727074,"cond_rad_wheelBlind_1.0.csv"
"subject2",96.2311046086,"cond_rad_wheelBlind_1.0.csv"
"subject20",103.496467642,"cond_rad_wheelBlind_1.0.csv"
"subject21",58.4383641739,"cond_rad_wheelBlind_1.0.csv"
"subject22",129.619273453,"cond_rad_wheelBlind_1.0.csv"
"subject23",102.360969344,"cond_rad_wheelBlind_1.0.csv"
"subject24",152.690650726,"cond_rad_wheelBlind_1.0.csv"
"subject25",97.5764193005,"cond_rad_wheelBlind_1.0.csv"
"subject26",102.516011108,"cond_rad_wheelBlind_1.0.csv"
"subject3",136.642386173,"cond_rad_wheelBlind_1.0.csv"
"subject4",75.2394786959,"cond_rad_wheelBlind_1.0.csv"
"subject5",29.9648888239,"cond_rad_wheelBlind_1.0.csv"
"subject6",59.3050183575,"cond_rad_wheelBlind_1.0.csv"
"subject7",83.686974418,"cond_rad_wheelBlind_1.0.csv"
"subject8",97.6014664311,"cond_rad_wheelBlind_1.0.csv"
"subject9",155.469477474,"cond_rad_wheelBlind_1.0.csv"
"subject1",159.286205158,"cond_rad_wheelBlind_1.5.csv"
"subject10",103.486857773,"cond_rad_wheelBlind_1.5.csv"
"subject11",40.6135115148,"cond_rad_wheelBlind_1.5.csv"
"subject12",87.9611457238,"cond_rad_wheelBlind_1.5.csv"
"subject13",110.364693166,"cond_rad_wheelBlind_1.5.csv"
"subject14",33.165000147,"cond_rad_wheelBlind_1.5.csv"
"subject15",114.895160997,"cond_rad_wheelBlind_1.5.csv"
"subject16",29.9240635855,"cond_rad_wheelBlind_1.5.csv"
"subject18",98.880810435,"cond_rad_wheelBlind_1.5.csv"
"subject19",16.3707651892,"cond_rad_wheelBlind_1.5.csv"
"subject2",66.7210012209,"cond_rad_wheelBlind_1.5.csv"
"subject20",56.0770533391,"cond_rad_wheelBlind_1.5.csv"
"subject21",113.257745922,"cond_rad_wheelBlind_1.5.csv"
"subject22",110.314724329,"cond_rad_wheelBlind_1.5.csv"
"subject23",31.351479941,"cond_rad_wheelBlind_1.5.csv"
"subject24",119.136925163,"cond_rad_wheelBlind_1.5.csv"
"subject25",142.532224213,"cond_rad_wheelBlind_1.5.csv"
"subject26",104.162012009,"cond_rad_wheelBlind_1.5.csv"
"subject3",142.248094767,"cond_rad_wheelBlind_1.5.csv"
"subject4",110.240368915,"cond_rad_wheelBlind_1.5.csv"
"subject5",44.9656159697,"cond_rad_wheelBlind_1.5.csv"
"subject6",94.9861757212,"cond_rad_wheelBlind_1.5.csv"
"subject7",30.563096637,"cond_rad_wheelBlind_1.5.csv"
"subject8",126.303181259,"cond_rad_wheelBlind_1.5.csv"
"subject9",153.114567034,"cond_rad_wheelBlind_1.5.csv"
"subject1",152.716777431,"cond_rad_wheelBlind_2.0.csv"
"subject10",113.935230059,"cond_rad_wheelBlind_2.0.csv"
"subject11",78.9471829566,"cond_rad_wheelBlind_2.0.csv"
