id,win,score,R,P,S,,W,L,D,,RT after W,RT after L,RT after D,,WinStay,LoseShift,DrawShift,,Final Score,
28,win,yes,0.233333333333333,0.366666666666667,0.4,,0.344444444444444,0.344444444444444,0.311111111111111,,217,167,267,,0.225806451612903,0.612903225806452,0.888888888888889,,31,
29,win,yes,0.377777777777778,0.288888888888889,0.333333333333333,,0.355555555555556,0.333333333333333,0.311111111111111,,584,400,467.5,,0.612903225806452,0.766666666666667,0.785714285714286,,34,
30,win,yes,0.433333333333333,0.233333333333333,0.333333333333333,,0.377777777777778,0.344444444444444,0.277777777777778,,968,1168,1001,,0.454545454545455,0.774193548387097,0.92,,37,
31,win,yes,0.311111111111111,0.366666666666667,0.322222222222222,,0.411111111111111,0.3,0.288888888888889,,117,134,117,,0.675675675675676,0.851851851851852,0.36,,47,
32,win,yes,0.422222222222222,0.322222222222222,0.255555555555556,,0.3,0.366666666666667,0.333333333333333,,634,242,350,,0.740740740740741,0.96875,0.6,,21,
33,win,yes,0.411111111111111,0.333333333333333,0.255555555555556,,0.266666666666667,0.455555555555556,0.277777777777778,,400.5,309,434,,0.208333333333333,0.8,0.76,,7,
34,win,yes,0.355555555555556,0.366666666666667,0.277777777777778,,0.355555555555556,0.266666666666667,0.377777777777778,,534,300,308.5,,0.15625,0.652173913043478,0.735294117647059,,40,
35,win,yes,0.277777777777778,0.4,0.322222222222222,,0.3,0.288888888888889,0.411111111111111,,167,125.5,150,,0.0769230769230769,0.923076923076923,0.810810810810811,,28,
36,win,yes,0.333333333333333,0.322222222222222,0.344444444444444,,0.388888888888889,0.344444444444444,0.266666666666667,,3820.5,4588,2018.5,,0.617647058823529,0.612903225806452,0.5,,39,
1,lose,no,0.588888888888889,0.377777777777778,0.0333333333333333,,0.344444444444444,0.333333333333333,0.322222222222222,,501,526,375,,0.580645161290323,1,0.428571428571429,,-29,
2,lose,no,0.133333333333333,0.433333333333333,0.433333333333333,,0.455555555555556,0.288888888888889,0.255555555555556,,317,292,317,,0.275,0.769230769230769,0.826086956521739,,-11,
3,lose,no,0.411111111111111,0.277777777777778,0.311111111111111,,0.388888888888889,0.288888888888889,0.322222222222222,,834,734,784,,0.342857142857143,0.4,0.344827586206897,,-17,
4,lose,no,0.355555555555556,0.277777777777778,0.366666666666667,,0.322222222222222,0.277777777777778,0.4,,350,308.5,242,,0.413793103448276,0.833333333333333,0.694444444444444,,-21,
5,lose,no,0.311111111111111,0.311111111111111,0.377777777777778,,0.3,0.333333333333333,0.366666666666667,,434,675.5,968,,0.333333333333333,0.866666666666667,0.6875,,-33,
6,lose,no,0.355555555555556,0.344444444444444,0.3,,0.411111111111111,0.3,0.288888888888889,,517.5,450,408.5,,0.333333333333333,0.814814814814815,0.923076923076923,,-17,
